	question	0	query	triples
10	Which band was formed first The Exies or Circus Diablo ?	Which band was formed first The Exies or Circus Diablo ?	Which band was formed first The Exies or Circus Diablo ?	{'named_entities': ['The Exies', 'Circus Diablo']}
11	Indian film photographer Jagdish Mali, known for taking images of various celebrities including Shabana Azmi, is father to which Bollywood actress? 	Indian film photographer Jagdish Mali, known for taking images of various celebrities including Shabana Azmi, is father to which Bollywood actress? 	Indian film photographer Jagdish Mali, known for taking images of various celebrities including Shabana Azmi, is father to which Bollywood actress? 	{'named_entities': ['Jagdish Mali', 'Shabana Azmi']}
12	This German professional basketball team originally based in Gothais sponsered by Germany's best selling beer brand since 2004 with an annual output of what in 2011?	This German professional basketball team originally based in Gothais sponsered by Germany's best selling beer brand since 2004 with an annual output of what in 2011?	This German professional basketball team originally based in Gothais sponsered by Germany's best selling beer brand since 2004 with an annual output of what in 2011?	"{'named_entities': ['Germany', 'Gotha', ""Germany's best selling beer brand"", '2011']}"
13	At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?	At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?	At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?	{'named_entities': ['Kerry Saxby-Junna', '2011 census']}
14	Which singer is American, Mark King or Nick Hexum?	Which singer is American, Mark King or Nick Hexum?	Which singer is American, Mark King or Nick Hexum?	{'named_entities': ['Mark King', 'Nick Hexum']}
15	Who performed in both Welcome to the Show and the band f(x)?	Who performed in both Welcome to the Show and the band f(x)?	Who performed in both Welcome to the Show and the band f(x)?	{'named_entities': ['Welcome to the Show', 'f(x)']}
16	Which of the two tornado outbreaks killed the most people?	Which of the two tornado outbreaks killed the most people?	Which of the two tornado outbreaks killed the most people?	{'named_entities': ['tornado outbreaks']}
17	Who is the oldest, Sid Haig or Vic Darchinyan?	Who is the oldest, Sid Haig or Vic Darchinyan?	Who is the oldest, Sid Haig or Vic Darchinyan?	{'named_entities': ['Sid Haig', 'Vic Darchinyan']}
18	Which plant is larger, the Pterocarya or the Cotula?	Which plant is larger, the Pterocarya or the Cotula?	Which plant is larger, the Pterocarya or the Cotula?	{'named_entities': ['Pterocarya', 'Cotula']}
19	In what film did Roddy Maude-Roxby play a character based on a story by a team including Tom Rowe as a writer?	In what film did Roddy Maude-Roxby play a character based on a story by a team including Tom Rowe as a writer?	In what film did Roddy Maude-Roxby play a character based on a story by a team including Tom Rowe as a writer?	{'named_entities': ['Roddy Maude-Roxby', 'Tom Rowe']}
20	Rhiwallon ap Cynfyn, was a Welsh King, following the 1063 invasion of Wales by Harold and Tostig Godwinson, he was an Anglo-Saxon Earl of which location, that overthrew Gruffydd, Rhiwallon and Bleddyn jointly?	Rhiwallon ap Cynfyn, was a Welsh King, following the 1063 invasion of Wales by Harold and Tostig Godwinson, he was an Anglo-Saxon Earl of which location, that overthrew Gruffydd, Rhiwallon and Bleddyn jointly?	Rhiwallon ap Cynfyn, was a Welsh King, following the 1063 invasion of Wales by Harold and Tostig Godwinson, he was an Anglo-Saxon Earl of which location, that overthrew Gruffydd, Rhiwallon and Bleddyn jointly?	{'named_entities': ['Rhiwallon ap Cynfyn', 'Wales', 'Harold', 'Tostig Godwinson', 'Gruffydd', 'Bleddyn']}
21	Scott Howell is a consultant who has worked with the mayor of what city?	Scott Howell is a consultant who has worked with the mayor of what city?	Scott Howell is a consultant who has worked with the mayor of what city?	{'named_entities': ['Scott Howell', 'mayor', 'city']}
22	Do Lafzon Ki Kahani, is a 2016 Indian Hindi-language romantic drama film, it is a remake of Always, released in which year, is a South Korean film directed by Song Il-gon?	Do Lafzon Ki Kahani, is a 2016 Indian Hindi-language romantic drama film, it is a remake of Always, released in which year, is a South Korean film directed by Song Il-gon?	Do Lafzon Ki Kahani, is a 2016 Indian Hindi-language romantic drama film, it is a remake of Always, released in which year, is a South Korean film directed by Song Il-gon?	{'named_entities': ['Lafzon Ki Kahani', '2016', 'Always', 'South Korea', 'Song Il-gon']}
23	Scott Andrew Buchholz, is an Australian politician, he previously served as chief of staff to which Queensland Senator Australian politician, who has served as the Deputy Prime Minister of Australia since 18 February 2016?	Scott Andrew Buchholz, is an Australian politician, he previously served as chief of staff to which Queensland Senator Australian politician, who has served as the Deputy Prime Minister of Australia since 18 February 2016?	Scott Andrew Buchholz, is an Australian politician, he previously served as chief of staff to which Queensland Senator Australian politician, who has served as the Deputy Prime Minister of Australia since 18 February 2016?	{'named_entities': ['Scott Andrew Buchholz', 'Queensland', 'Deputy Prime Minister of Australia', '18 February 2016']}
24	Notable speakers at the Brisbane Institute include a painter known for his precisionist depictions of what?	Notable speakers at the Brisbane Institute include a painter known for his precisionist depictions of what?	Notable speakers at the Brisbane Institute include a painter known for his precisionist depictions of what?	{'named_entities': ['Brisbane Institute', 'painter', 'precisionist depictions']}
25	The Women's National Basketball League includes the Adelaide team that was formed in what year?	The Women's National Basketball League includes the Adelaide team that was formed in what year?	The Women's National Basketball League includes the Adelaide team that was formed in what year?	"{'named_entities': [""Women's National Basketball League"", 'Adelaide']}"
26	The real life person that James Woods' character is based on in the television film In Love and War was awarded what medal?	The real life person that James Woods' character is based on in the television film In Love and War was awarded what medal?	The real life person that James Woods' character is based on in the television film In Love and War was awarded what medal?	{'named_entities': ['James Woods', 'In Love and War', 'medal']}
27	From 1945-1949 Dick Humbert played for an NFL team based in what state?	From 1945-1949 Dick Humbert played for an NFL team based in what state?	From 1945-1949 Dick Humbert played for an NFL team based in what state?	{'named_entities': ['Dick Humbert', 'NFL', '1945', '1949', 'state']}
28	" ""Wonderland by Night"" is a song included in the 1968 album ""A Man Without Love"" by an English pop singer that has sold more than how many records worldwide?"	" ""Wonderland by Night"" is a song included in the 1968 album ""A Man Without Love"" by an English pop singer that has sold more than how many records worldwide?"	" ""Wonderland by Night"" is a song included in the 1968 album ""A Man Without Love"" by an English pop singer that has sold more than how many records worldwide?"	{'named_entities': ['Wonderland by Night', '1968', 'A Man Without Love', 'English pop singer']}
29	Heinkel HD 23 was a type of plane that was held on the craft that were first developed when?	Heinkel HD 23 was a type of plane that was held on the craft that were first developed when?	Heinkel HD 23 was a type of plane that was held on the craft that were first developed when?	{'named_entities': ['Heinkel HD 23']}
30	 The initial tornado of the Late-May 1998 tornado outbreak hit a state named after which Native American tribes?	 The initial tornado of the Late-May 1998 tornado outbreak hit a state named after which Native American tribes?	 The initial tornado of the Late-May 1998 tornado outbreak hit a state named after which Native American tribes?	{'named_entities': ['Late-May 1998 tornado outbreak', 'Native American tribes']}
31	Drew Fuller stared in a series that originally broadcast on what station? 	Drew Fuller stared in a series that originally broadcast on what station? 	Drew Fuller stared in a series that originally broadcast on what station? 	{'named_entities': ['Drew Fuller', 'station']}
32	"Homer's Odyssey is the third episode of the first season of ""The Simpsons"". What recurring character makes his first appearance in this episode?"	"Homer's Odyssey is the third episode of the first season of ""The Simpsons"". What recurring character makes his first appearance in this episode?"	"Homer's Odyssey is the third episode of the first season of ""The Simpsons"". What recurring character makes his first appearance in this episode?"	"{'named_entities': [""Homer's Odyssey"", 'The Simpsons']}"
33	The Jump is a British television series that follows celebrities as they try to master various winter sports, which is Britain's first Olympic ski jumper, who in 1988 became the first competitor since 1929 to represent Great Britain in Olympic ski jumping, finishing last in the 70 m and 90 m events?	The Jump is a British television series that follows celebrities as they try to master various winter sports, which is Britain's first Olympic ski jumper, who in 1988 became the first competitor since 1929 to represent Great Britain in Olympic ski jumping, finishing last in the 70 m and 90 m events?	The Jump is a British television series that follows celebrities as they try to master various winter sports, which is Britain's first Olympic ski jumper, who in 1988 became the first competitor since 1929 to represent Great Britain in Olympic ski jumping, finishing last in the 70 m and 90 m events?	{'named_entities': ['The Jump', 'British', 'Olympic', 'Great Britain', '1988', '1929']}
34	In what year was the man that resigned as the president of Israel before the Israeli presidential election, 2000 born?	In what year was the man that resigned as the president of Israel before the Israeli presidential election, 2000 born?	In what year was the man that resigned as the president of Israel before the Israeli presidential election, 2000 born?	{'named_entities': ['Israel', '2000']}
35	What is the name of the pop band founded by one of the stars of Aisa Yeh Jahaan?	What is the name of the pop band founded by one of the stars of Aisa Yeh Jahaan?	What is the name of the pop band founded by one of the stars of Aisa Yeh Jahaan?	{'named_entities': ['Aisa Yeh Jahaan', 'pop band']}
36	how is Tampa Bay Buccaneers draft history and Lee Roy Selmon connected?	how is Tampa Bay Buccaneers draft history and Lee Roy Selmon connected?	how is Tampa Bay Buccaneers draft history and Lee Roy Selmon connected?	{'named_entities': ['Tampa Bay Buccaneers', 'Lee Roy Selmon']}
37	How many times was the politician who was premier of South Australia when William Copley was Minister for Agriculture and Education, premier ?	How many times was the politician who was premier of South Australia when William Copley was Minister for Agriculture and Education, premier ?	How many times was the politician who was premier of South Australia when William Copley was Minister for Agriculture and Education, premier ?	{'named_entities': ['William Copley', 'South Australia']}
38	Toad Hall is a residential hall in a university located in what Australian city?	Toad Hall is a residential hall in a university located in what Australian city?	Toad Hall is a residential hall in a university located in what Australian city?	{'named_entities': ['Toad Hall', 'Australia']}
39	The director Armando Iannucci has an OBE. Does the director Puneet Sira also have one?	The director Armando Iannucci has an OBE. Does the director Puneet Sira also have one?	The director Armando Iannucci has an OBE. Does the director Puneet Sira also have one?	{'named_entities': ['Armando Iannucci', 'Puneet Sira', 'OBE']}
40	What position did the receiver of the 2007 FIFA U-20 Golden Shoe play?	What position did the receiver of the 2007 FIFA U-20 Golden Shoe play?	What position did the receiver of the 2007 FIFA U-20 Golden Shoe play?	{'named_entities': ['2007 FIFA U-20 Golden Shoe']}
41	The Curse of the Jade Scorpion is a 2001 crime comedy film featuring an American actress who starred in what for seven years?	The Curse of the Jade Scorpion is a 2001 crime comedy film featuring an American actress who starred in what for seven years?	The Curse of the Jade Scorpion is a 2001 crime comedy film featuring an American actress who starred in what for seven years?	{'named_entities': ['The Curse of the Jade Scorpion', '2001', 'American actress']}
42	"What genre is the author of the story behind ""Act of War; Direct Action"" associated with?"	"What genre is the author of the story behind ""Act of War; Direct Action"" associated with?"	"What genre is the author of the story behind ""Act of War; Direct Action"" associated with?"	{'named_entities': ['Act of War; Direct Action']}
43	How many times was Deltha Lee O'Neal, III selected for the all-star game of the National Football League?	How many times was Deltha Lee O'Neal, III selected for the all-star game of the National Football League?	How many times was Deltha Lee O'Neal, III selected for the all-star game of the National Football League?	"{'named_entities': [""Deltha Lee O'Neal, III"", 'National Football League', 'all-star game']}"
44	What actresses were involved in the scandal that temporarily separated the Hong Kong duo Twins in 2008?	What actresses were involved in the scandal that temporarily separated the Hong Kong duo Twins in 2008?	What actresses were involved in the scandal that temporarily separated the Hong Kong duo Twins in 2008?	{'named_entities': ['Twins', 'Hong Kong', '2008']}
45	Philip Carlo was a biographer for an American contract killer who was associated with members of what crime family?	Philip Carlo was a biographer for an American contract killer who was associated with members of what crime family?	Philip Carlo was a biographer for an American contract killer who was associated with members of what crime family?	{'named_entities': ['Philip Carlo', 'American contract killer', 'crime family']}
46	"Who was Audrey Williams pregnant with during the recording of ""Dear Brother""?"	"Who was Audrey Williams pregnant with during the recording of ""Dear Brother""?"	"Who was Audrey Williams pregnant with during the recording of ""Dear Brother""?"	{'named_entities': ['Audrey Williams', 'Dear Brother']}
47	How to Eat, released in which year, is a book of English cuisine by the celebrity cook Nigella Lawson	How to Eat, released in which year, is a book of English cuisine by the celebrity cook Nigella Lawson	How to Eat, released in which year, is a book of English cuisine by the celebrity cook Nigella Lawson	{'named_entities': ['How to Eat', 'Nigella Lawson']}
48	The Blue Lacy, official breed of Texas, and Chesapeake Bay Retriever, are both dog breeds developed during which century?	The Blue Lacy, official breed of Texas, and Chesapeake Bay Retriever, are both dog breeds developed during which century?	The Blue Lacy, official breed of Texas, and Chesapeake Bay Retriever, are both dog breeds developed during which century?	{'named_entities': ['Blue Lacy', 'Texas', 'Chesapeake Bay Retriever']}
49	 Transfiguration of Vincent is the third studio album by a singer-songwriter from what state?	 Transfiguration of Vincent is the third studio album by a singer-songwriter from what state?	 Transfiguration of Vincent is the third studio album by a singer-songwriter from what state?	{'named_entities': ['Transfiguration of Vincent', 'singer-songwriter', 'state']}
50	"Barrier Device starred which Canadian actress, known for a role on ""Grey's Anatomy"", as a sex researcher?"	"Barrier Device starred which Canadian actress, known for a role on ""Grey's Anatomy"", as a sex researcher?"	"Barrier Device starred which Canadian actress, known for a role on ""Grey's Anatomy"", as a sex researcher?"	"{'named_entities': ['Barrier Device', 'Canadian actress', ""Grey's Anatomy""]}"
51	Are Medici and Senet both board games?	Are Medici and Senet both board games?	Are Medici and Senet both board games?	{'named_entities': ['Medici', 'Senet']}
52	What author was more popular in the 70's, Richard Wright or Richard Bach?	What author was more popular in the 70's, Richard Wright or Richard Bach?	What author was more popular in the 70's, Richard Wright or Richard Bach?	{'named_entities': ['Richard Wright', 'Richard Bach']}
53	Which came first the forming of The Dandy Warhols or the birth of Robert Young?	Which came first the forming of The Dandy Warhols or the birth of Robert Young?	Which came first the forming of The Dandy Warhols or the birth of Robert Young?	{'named_entities': ['The Dandy Warhols', 'Robert Young']}
54	Who produced the single that the Jamaican reggae singer born in 1952 in Kingston, Jamaica was most known for?	Who produced the single that the Jamaican reggae singer born in 1952 in Kingston, Jamaica was most known for?	Who produced the single that the Jamaican reggae singer born in 1952 in Kingston, Jamaica was most known for?	{'named_entities': ['Jamaican reggae singer', '1952', 'Kingston', 'Jamaica']}
55	Are King Vidor and Géza von Cziffra both American directors?	Are King Vidor and Géza von Cziffra both American directors?	Are King Vidor and Géza von Cziffra both American directors?	{'named_entities': ['King Vidor', 'Géza von Cziffra']}
56	"Who did the actor who starred as Constable Benton Fraser in the television series ""Due South"" have a child with?"	"Who did the actor who starred as Constable Benton Fraser in the television series ""Due South"" have a child with?"	"Who did the actor who starred as Constable Benton Fraser in the television series ""Due South"" have a child with?"	{'named_entities': ['Constable Benton Fraser', 'Due South']}
57	To which country was the historical figure used for the basis of the novel Strandloper transported to?	To which country was the historical figure used for the basis of the novel Strandloper transported to?	To which country was the historical figure used for the basis of the novel Strandloper transported to?	{'named_entities': ['Strandloper', 'country']}
58	Charles Andrews graduated from what college preparatory boys' school?	Charles Andrews graduated from what college preparatory boys' school?	Charles Andrews graduated from what college preparatory boys' school?	"{'named_entities': ['Charles Andrews', ""college preparatory boys' school""]}"
59	Both Never Cry Wolf and Big Hero 6 films were released by what label?	Both Never Cry Wolf and Big Hero 6 films were released by what label?	Both Never Cry Wolf and Big Hero 6 films were released by what label?	{'named_entities': ['Never Cry Wolf', 'Big Hero 6']}
60	What role did Ed Roland and Adam Duritz perform in their respective bands, Collective Soul and Counting Crows?	What role did Ed Roland and Adam Duritz perform in their respective bands, Collective Soul and Counting Crows?	What role did Ed Roland and Adam Duritz perform in their respective bands, Collective Soul and Counting Crows?	{'named_entities': ['Ed Roland', 'Adam Duritz', 'Collective Soul', 'Counting Crows']}
61	What song debuted in the October 27, 1999 episode of South Park?	What song debuted in the October 27, 1999 episode of South Park?	What song debuted in the October 27, 1999 episode of South Park?	{'named_entities': ['South Park', 'October 27, 1999']}
62	What do E. B. White and Dan Masterson have in common?	What do E. B. White and Dan Masterson have in common?	What do E. B. White and Dan Masterson have in common?	{'named_entities': ['E. B. White', 'Dan Masterson']}
63	Which magazine was published first, Guitar World or Science News?	Which magazine was published first, Guitar World or Science News?	Which magazine was published first, Guitar World or Science News?	{'named_entities': ['Guitar World', 'Science News']}
64	"When was the Welsh singer born who is known for her distinctive husky voice and who's third album is ""Diamond Cut"" (1979)?"	"When was the Welsh singer born who is known for her distinctive husky voice and who's third album is ""Diamond Cut"" (1979)?"	"When was the Welsh singer born who is known for her distinctive husky voice and who's third album is ""Diamond Cut"" (1979)?"	{'named_entities': ['Welsh singer', 'Diamond Cut', '1979']}
65	Are Frozen and Escape from the Dark both animated features?	Are Frozen and Escape from the Dark both animated features?	Are Frozen and Escape from the Dark both animated features?	{'named_entities': ['Frozen', 'Escape from the Dark']}
66	Besides Little Rock, Arkansas, what city are the offices of the Clinton Foundation located where Bari Lurie serves as chief of staff to Chelsea Clinton?	Besides Little Rock, Arkansas, what city are the offices of the Clinton Foundation located where Bari Lurie serves as chief of staff to Chelsea Clinton?	Besides Little Rock, Arkansas, what city are the offices of the Clinton Foundation located where Bari Lurie serves as chief of staff to Chelsea Clinton?	{'named_entities': ['Little Rock', 'Arkansas', 'Clinton Foundation', 'Bari Lurie', 'Chelsea Clinton']}
67	Thumb Wrestling Federation is on a network founded by who?	Thumb Wrestling Federation is on a network founded by who?	Thumb Wrestling Federation is on a network founded by who?	{'named_entities': ['Thumb Wrestling Federation']}
68	"Terry McGurrin was the story editor for the show ""Scaredy Squirrel"" which was written by who? "	"Terry McGurrin was the story editor for the show ""Scaredy Squirrel"" which was written by who? "	"Terry McGurrin was the story editor for the show ""Scaredy Squirrel"" which was written by who? "	{'named_entities': ['Terry McGurrin', 'Scaredy Squirrel']}
69	Between Iain Banks and Irwin Shaw, which writer has had a more diverse career?	Between Iain Banks and Irwin Shaw, which writer has had a more diverse career?	Between Iain Banks and Irwin Shaw, which writer has had a more diverse career?	{'named_entities': ['Iain Banks', 'Irwin Shaw']}
70	"The writer of the song  ""Death of Samantha"" was the second wife of what singer?"	"The writer of the song  ""Death of Samantha"" was the second wife of what singer?"	"The writer of the song  ""Death of Samantha"" was the second wife of what singer?"	{'named_entities': ['Death of Samantha', 'singer']}
71	Jean Vander Pyl provided the voice of Rosie on the Hanna-Barbera animated sitcom that originally premiered on which date?	Jean Vander Pyl provided the voice of Rosie on the Hanna-Barbera animated sitcom that originally premiered on which date?	Jean Vander Pyl provided the voice of Rosie on the Hanna-Barbera animated sitcom that originally premiered on which date?	{'named_entities': ['Jean Vander Pyl', 'Rosie', 'Hanna-Barbera', 'animated sitcom']}
72	Who was the DJ of the compilation album partially produced by an English cricketer born in Christchurch, New Zealand?	Who was the DJ of the compilation album partially produced by an English cricketer born in Christchurch, New Zealand?	Who was the DJ of the compilation album partially produced by an English cricketer born in Christchurch, New Zealand?	{'named_entities': ['English cricketer', 'Christchurch', 'New Zealand', 'DJ', 'compilation album']}
73	Are Marian Gold and Jung Eun-ji members of the same band?	Are Marian Gold and Jung Eun-ji members of the same band?	Are Marian Gold and Jung Eun-ji members of the same band?	{'named_entities': ['Marian Gold', 'Jung Eun-ji']}
74	Kate Ramsay is a fictional character from an Australian soap opera created by who?	Kate Ramsay is a fictional character from an Australian soap opera created by who?	Kate Ramsay is a fictional character from an Australian soap opera created by who?	{'named_entities': ['Kate Ramsay', 'Australian soap opera']}
75	What is an American company that designs, manufactures, and distributes small arm that had two former employees form Cooper Firearms of Montana?	What is an American company that designs, manufactures, and distributes small arm that had two former employees form Cooper Firearms of Montana?	What is an American company that designs, manufactures, and distributes small arm that had two former employees form Cooper Firearms of Montana?	{'named_entities': ['Cooper Firearms of Montana', 'American company']}
76	Simon & Simon starred which television and movie actor from the US?	Simon & Simon starred which television and movie actor from the US?	Simon & Simon starred which television and movie actor from the US?	{'named_entities': ['Simon & Simon', 'US']}
77	Which of the founders of the Mississippi Institute of Arts and Letters contributed to the Mississippi Education Reform Act?	Which of the founders of the Mississippi Institute of Arts and Letters contributed to the Mississippi Education Reform Act?	Which of the founders of the Mississippi Institute of Arts and Letters contributed to the Mississippi Education Reform Act?	{'named_entities': ['Mississippi Institute of Arts and Letters', 'Mississippi Education Reform Act']}
78	The film Darkon follows the Darkon Wargaming Club based in Baltimore, Maryland, a group that participates in an activity with this 4-letter acronym name.	The film Darkon follows the Darkon Wargaming Club based in Baltimore, Maryland, a group that participates in an activity with this 4-letter acronym name.	The film Darkon follows the Darkon Wargaming Club based in Baltimore, Maryland, a group that participates in an activity with this 4-letter acronym name.	{'named_entities': ['Darkon', 'Darkon Wargaming Club', 'Baltimore', 'Maryland']}
79	Who directed the film in which Jung Joon-young made his big screen debut?	Who directed the film in which Jung Joon-young made his big screen debut?	Who directed the film in which Jung Joon-young made his big screen debut?	{'named_entities': ['Jung Joon-young']}
80	Zhongzheng District is a district in Taipei, Republic of China, the late President of the Republic of China was Chiang Kai-shek, who died on which date? 	Zhongzheng District is a district in Taipei, Republic of China, the late President of the Republic of China was Chiang Kai-shek, who died on which date? 	Zhongzheng District is a district in Taipei, Republic of China, the late President of the Republic of China was Chiang Kai-shek, who died on which date? 	{'named_entities': ['Zhongzheng District', 'Taipei', 'Republic of China', 'Chiang Kai-shek']}
81	Vicious Lies and Dangerous Rumors featured a guest appearance by which rapper, actor, and model from Harlem?	Vicious Lies and Dangerous Rumors featured a guest appearance by which rapper, actor, and model from Harlem?	Vicious Lies and Dangerous Rumors featured a guest appearance by which rapper, actor, and model from Harlem?	{'named_entities': ['Vicious Lies and Dangerous Rumors', 'Harlem']}
82	Which Danish heavy metal band from Copenhagen released a compilation album of rare demo tracks?	Which Danish heavy metal band from Copenhagen released a compilation album of rare demo tracks?	Which Danish heavy metal band from Copenhagen released a compilation album of rare demo tracks?	{'named_entities': ['Danish heavy metal band', 'Copenhagen', 'compilation album', 'rare demo tracks']}
83	What landlocked country located in Southern Africa is the birth place of the Swedish performance artist Ayesha?	What landlocked country located in Southern Africa is the birth place of the Swedish performance artist Ayesha?	What landlocked country located in Southern Africa is the birth place of the Swedish performance artist Ayesha?	{'named_entities': ['Southern Africa', 'Ayesha']}
84	Under what name did the founder and lead guitarist of the band Porcupine Tree use when he released his album Indicates Void?	Under what name did the founder and lead guitarist of the band Porcupine Tree use when he released his album Indicates Void?	Under what name did the founder and lead guitarist of the band Porcupine Tree use when he released his album Indicates Void?	{'named_entities': ['Porcupine Tree', 'Indicates Void', 'Steven Wilson']}
85	What position does the footballer who plays for the capital and the largest city of Portugal paly?	What position does the footballer who plays for the capital and the largest city of Portugal paly?	What position does the footballer who plays for the capital and the largest city of Portugal paly?	{'named_entities': ['Portugal', 'Lisbon']}
86	Jon L. Luther was the chairman and CEO of a restaurant holding company headquartered in what city?	Jon L. Luther was the chairman and CEO of a restaurant holding company headquartered in what city?	Jon L. Luther was the chairman and CEO of a restaurant holding company headquartered in what city?	{'named_entities': ['Jon L. Luther', 'restaurant holding company', 'city']}
87	What show does a retired Orlando Magic player, who missed the entire 2003-2004 season due to a knee injury, host?	What show does a retired Orlando Magic player, who missed the entire 2003-2004 season due to a knee injury, host?	What show does a retired Orlando Magic player, who missed the entire 2003-2004 season due to a knee injury, host?	{'named_entities': ['Orlando Magic', '2003-2004 season']}
88	"What was the profession of Amy Johnson, whom's life was featured in the Brittish biopic ""They Flew Alone"" "	"What was the profession of Amy Johnson, whom's life was featured in the Brittish biopic ""They Flew Alone"" "	"What was the profession of Amy Johnson, whom's life was featured in the Brittish biopic ""They Flew Alone"" "	{'named_entities': ['Amy Johnson', 'They Flew Alone', 'British']}
89	When was the company founded for which Kathi-Anne Reinstein resigned to be a lobbyist ?	When was the company founded for which Kathi-Anne Reinstein resigned to be a lobbyist ?	When was the company founded for which Kathi-Anne Reinstein resigned to be a lobbyist ?	{'named_entities': ['Kathi-Anne Reinstein']}
90	"What is the abbreviation to the magazine that called Qvwm  ""an unusually impressive imposter""?"	"What is the abbreviation to the magazine that called Qvwm  ""an unusually impressive imposter""?"	"What is the abbreviation to the magazine that called Qvwm  ""an unusually impressive imposter""?"	{'named_entities': ['Qvwm']}
91	Name the mother of Edward Stafford, 4th Baron Stafford, who was the daughter of the English nobleman and politician Edward Stanley, 3rd Earl of Derby?	Name the mother of Edward Stafford, 4th Baron Stafford, who was the daughter of the English nobleman and politician Edward Stanley, 3rd Earl of Derby?	Name the mother of Edward Stafford, 4th Baron Stafford, who was the daughter of the English nobleman and politician Edward Stanley, 3rd Earl of Derby?	{'named_entities': ['Edward Stafford', '4th Baron Stafford', 'Edward Stanley', '3rd Earl of Derby']}
92	Which 1988 Telugu comedy produced by D.P. Varma had music composed by the only female music director in the Telugu film industry?	Which 1988 Telugu comedy produced by D.P. Varma had music composed by the only female music director in the Telugu film industry?	Which 1988 Telugu comedy produced by D.P. Varma had music composed by the only female music director in the Telugu film industry?	{'named_entities': ['1988', 'Telugu', 'D.P. Varma', 'female music director']}
93	"The soundtrack from the film ""Natural Born Killers"" was produced by a man born in what year?"	"The soundtrack from the film ""Natural Born Killers"" was produced by a man born in what year?"	"The soundtrack from the film ""Natural Born Killers"" was produced by a man born in what year?"	{'named_entities': ['Natural Born Killers']}
94	What low budget British comedy Franchise produced by Peter Rogers and stared Dilys Laye?	What low budget British comedy Franchise produced by Peter Rogers and stared Dilys Laye?	What low budget British comedy Franchise produced by Peter Rogers and stared Dilys Laye?	{'named_entities': ['Peter Rogers', 'Dilys Laye', 'British comedy Franchise']}
95	Steve Johnson is the current head football coach at a University which also has a second campus in which California city?	Steve Johnson is the current head football coach at a University which also has a second campus in which California city?	Steve Johnson is the current head football coach at a University which also has a second campus in which California city?	{'named_entities': ['Steve Johnson', 'University', 'California']}
